campaign_platform,device,age,spends,impressions,clicks
Google Ads,Mobile,18-24,133.8,14,4
Google Ads,Mobile,25-34,189.85,8,6
Google Ads,Mobile,35-44,1.07,3,1
Google Ads,Mobile,Undetermined,66.58,53,5
Google Ads,Desktop,18-24,157.61,29,9
Google Ads,Desktop,25-34,93.78,65,6
Google Ads,Desktop,35-44,185.79,30,6
Google Ads,Desktop,45-54,175.75,11,2
Google Ads,Desktop,55-64,11.45,4,1
Google Ads,Desktop,65 or more,29.34,3,2
Google Ads,Desktop,Undetermined,284.98,47,9
Google Ads,Mobile,18-24,591.92,121,35
Google Ads,Mobile,25-34,914.16,172,37
Google Ads,Mobile,35-44,455.62,40,15
Google Ads,Mobile,45-54,33.89,22,4
Google Ads,Mobile,55-64,0,5,0
Google Ads,Mobile,65 or more,11.01,5,1
Google Ads,Mobile,Undetermined,1089.79,195,32
Google Ads,Tablet,25-34,0,3,0
Google Ads,Tablet,35-44,0,2,0
Google Ads,Tablet,Undetermined,0,1,0
Google Ads,Desktop,18-24,11.83,3,2
Google Ads,Desktop,25-34,182.84,3,3
Google Ads,Desktop,35-44,0,2,0
Google Ads,Desktop,Undetermined,6.24,10,2
Google Ads,Mobile,18-24,64.09,17,7
Google Ads,Mobile,25-34,22.35,10,3
Google Ads,Mobile,35-44,97.39,8,2
Google Ads,Mobile,45-54,45.93,4,2
Google Ads,Mobile,55-64,132.26,2,2
Google Ads,Mobile,Undetermined,188.97,48,8
Google Ads,Desktop,18-24,29.35,11,1
Google Ads,Desktop,25-34,144.28,20,5
Google Ads,Desktop,35-44,0,12,0
Google Ads,Desktop,45-54,14.44,8,1
Google Ads,Desktop,Undetermined,49.57,34,3
Google Ads,Mobile,18-24,178.8,56,9
Google Ads,Mobile,25-34,605.03,130,28
Google Ads,Mobile,35-44,249.74,56,14
Google Ads,Mobile,45-54,28.23,17,5
Google Ads,Mobile,55-64,18.62,7,2
Google Ads,Mobile,65 or more,0,3,0
Google Ads,Mobile,Undetermined,370.6,181,30
Google Ads,Tablet,25-34,0.43,12,1
Google Ads,Tablet,35-44,0,1,0
Google Ads,Desktop,18-24,2.88,2,1
Google Ads,Desktop,25-34,0,2,0
Google Ads,Desktop,35-44,0,1,0
Google Ads,Desktop,Undetermined,38.43,6,2
Google Ads,Mobile,18-24,14.44,9,2
Google Ads,Mobile,25-34,87.25,10,5
Google Ads,Mobile,35-44,1.07,3,1
Google Ads,Mobile,45-54,0,1,0
Google Ads,Mobile,Undetermined,48.8,34,3
Google Ads,Desktop,18-24,114.94,33,7
Google Ads,Desktop,25-34,693.98,120,26
Google Ads,Desktop,35-44,381.48,64,12
Google Ads,Desktop,45-54,170.44,14,6
Google Ads,Desktop,55-64,0,2,0
Google Ads,Desktop,65 or more,0,5,0
Google Ads,Desktop,Undetermined,145.19,110,15
Google Ads,Mobile,18-24,430.5,138,36
Google Ads,Mobile,25-34,803.8,223,51
Google Ads,Mobile,35-44,329.59,68,16
Google Ads,Mobile,45-54,102.43,21,5
Google Ads,Mobile,55-64,5.57,4,1
Google Ads,Mobile,65 or more,68.85,7,1
Google Ads,Mobile,Undetermined,368.1,207,26
Google Ads,Tablet,Undetermined,0,1,0
Google Ads,Desktop,18-24,20.53,9,4
Google Ads,Desktop,25-34,141.34,14,4
Google Ads,Desktop,35-44,0,6,0
Google Ads,Desktop,45-54,0,2,0
Google Ads,Desktop,Undetermined,98.59,0,1
Google Ads,Mobile,18-24,164.84,10,4
Google Ads,Mobile,25-34,32.36,15,5
Google Ads,Mobile,35-44,9.23,2,1
Google Ads,Mobile,45-54,5.49,2,1
Google Ads,Mobile,Undetermined,12.32,35,4
Google Ads,Desktop,18-24,30.62,31,5
Google Ads,Desktop,25-34,607.89,153,28
Google Ads,Desktop,35-44,454.68,78,11
Google Ads,Desktop,45-54,107.23,28,5
Google Ads,Desktop,55-64,24.28,8,1
Google Ads,Desktop,65 or more,31.7,4,1
Google Ads,Desktop,Undetermined,385.48,98,19
Google Ads,Mobile,18-24,772.79,156,49
Google Ads,Mobile,25-34,595.7,226,42
Google Ads,Mobile,35-44,111.76,49,17
Google Ads,Mobile,45-54,36.61,22,4
Google Ads,Mobile,55-64,0,4,0
Google Ads,Mobile,65 or more,8.47,12,3
Google Ads,Mobile,Undetermined,503.12,286,47
Google Ads,Tablet,25-34,0,1,0
Google Ads,Desktop,25-34,33.91,11,1
Google Ads,Desktop,35-44,0,4,0
Google Ads,Desktop,45-54,0,1,0
Google Ads,Desktop,55-64,2.65,2,1
Google Ads,Desktop,Undetermined,26.06,12,4
Google Ads,Mobile,18-24,69.23,7,4
Google Ads,Mobile,25-34,12.62,12,2
Google Ads,Mobile,35-44,5.35,6,2
Google Ads,Mobile,Undetermined,40.14,29,3
Google Ads,Desktop,18-24,14.31,25,2
Google Ads,Desktop,25-34,610.96,113,26
Google Ads,Desktop,35-44,98.33,59,8
Google Ads,Desktop,45-54,36.81,10,3
Google Ads,Desktop,55-64,0,3,0
Google Ads,Desktop,65 or more,11.03,4,2
Google Ads,Desktop,Undetermined,319.73,101,10
Google Ads,Mobile,18-24,500.77,145,32
Google Ads,Mobile,25-34,709.07,213,52
Google Ads,Mobile,35-44,208.66,77,12
Google Ads,Mobile,45-54,48.5,26,2
Google Ads,Mobile,55-64,25.67,4,1
Google Ads,Mobile,65 or more,150.74,12,5
Google Ads,Mobile,Undetermined,275.32,254,26
Google Ads,Tablet,18-24,141.15,1,1
Google Ads,Tablet,35-44,0.43,3,1
Google Ads,Tablet,Undetermined,0.54,4,1
Google Ads,Desktop,18-24,4.16,2,1
Google Ads,Desktop,25-34,0,7,0
Google Ads,Desktop,35-44,8.75,4,2
Google Ads,Desktop,45-54,1.6,3,1
Google Ads,Desktop,65 or more,0,1,0
Google Ads,Desktop,Undetermined,0,2,0
Google Ads,Mobile,18-24,32.85,11,5
Google Ads,Mobile,25-34,140.25,11,5
Google Ads,Mobile,35-44,63.14,3,2
Google Ads,Mobile,45-54,0,1,0
Google Ads,Mobile,55-64,0,1,0
Google Ads,Mobile,65 or more,0,1,0
Google Ads,Mobile,Undetermined,143.17,32,4
Google Ads,Desktop,18-24,201.58,33,10
Google Ads,Desktop,25-34,595.06,114,28
Google Ads,Desktop,35-44,107.51,45,9
Google Ads,Desktop,45-54,167.28,16,3
Google Ads,Desktop,55-64,50.36,12,1
Google Ads,Desktop,65 or more,0,5,0
Google Ads,Desktop,Undetermined,161.78,100,12
Google Ads,Mobile,18-24,445.34,151,43
Google Ads,Mobile,25-34,722.29,195,50
Google Ads,Mobile,35-44,421.2,93,17
Google Ads,Mobile,45-54,93.8,37,9
Google Ads,Mobile,55-64,2.9,10,3
Google Ads,Mobile,65 or more,48.1,10,2
Google Ads,Mobile,Undetermined,393.95,275,30
Google Ads,Tablet,35-44,0,1,0
Google Ads,Desktop,18-24,275.58,4,4
Google Ads,Desktop,25-34,38.65,5,2
Google Ads,Desktop,35-44,0,2,0
Google Ads,Desktop,45-54,0,1,0
Google Ads,Desktop,Undetermined,20.57,7,3
Google Ads,Mobile,18-24,111.04,16,10
Google Ads,Mobile,25-34,233.29,13,7
Google Ads,Mobile,35-44,6.99,3,4
Google Ads,Mobile,Undetermined,139.99,35,6
Google Ads,Desktop,18-24,272.98,30,6
Google Ads,Desktop,25-34,451.47,105,19
Google Ads,Desktop,35-44,130.34,53,10
Google Ads,Desktop,45-54,17.32,15,1
Google Ads,Desktop,55-64,0,4,0
Google Ads,Desktop,65 or more,6.01,5,1
Google Ads,Desktop,Undetermined,426.15,103,13
Google Ads,Mobile,18-24,495.02,143,35
Google Ads,Mobile,25-34,846.01,207,53
Google Ads,Mobile,35-44,180.91,64,15
Google Ads,Mobile,45-54,7.57,24,6
Google Ads,Mobile,55-64,0,3,0
Google Ads,Mobile,65 or more,13.3,11,1
Google Ads,Mobile,Undetermined,225.32,246,20
Google Ads,Tablet,25-34,1.61,1,1
Google Ads,Tablet,Undetermined,0,4,0
Google Ads,Desktop,18-24,0,2,0
Google Ads,Desktop,25-34,99.59,7,3
Google Ads,Desktop,35-44,0,2,0
Google Ads,Desktop,Undetermined,177.83,7,3
Google Ads,Mobile,18-24,44.84,10,5
Google Ads,Mobile,25-34,33.52,7,3
Google Ads,Mobile,35-44,0,1,0
Google Ads,Mobile,45-54,0,1,0
Google Ads,Mobile,65 or more,0,1,0
Google Ads,Mobile,Undetermined,150.96,37,4
Google Ads,Desktop,18-24,24.44,22,3
Google Ads,Desktop,25-34,88.33,59,8
Google Ads,Desktop,35-44,200.52,35,9
Google Ads,Desktop,45-54,15.24,8,1
Google Ads,Desktop,55-64,0,1,0
Google Ads,Desktop,65 or more,0.43,5,1
Google Ads,Desktop,Undetermined,147.92,71,9
Google Ads,Mobile,18-24,318.63,95,28
Google Ads,Mobile,25-34,446.85,129,33
Google Ads,Mobile,35-44,159.78,44,12
Google Ads,Mobile,45-54,21.18,23,6
Google Ads,Mobile,55-64,1.28,6,1
Google Ads,Mobile,65 or more,0,4,0
Google Ads,Mobile,Undetermined,304.04,199,29
Google Ads,Tablet,Undetermined,0.43,2,1
Google Ads,Desktop,18-24,1.83,2,1
Google Ads,Desktop,25-34,0.43,5,1
Google Ads,Desktop,35-44,20.81,8,3
Google Ads,Desktop,55-64,0,1,0
Google Ads,Desktop,Undetermined,15.98,4,1
Google Ads,Mobile,18-24,33.78,10,6
Google Ads,Mobile,25-34,108.98,16,4
Google Ads,Mobile,35-44,0.29,1,1
Google Ads,Mobile,Undetermined,19.63,26,2
Google Ads,Desktop,18-24,93.4,12,3
Google Ads,Desktop,25-34,46.44,33,6
Google Ads,Desktop,35-44,73.39,11,3
Google Ads,Desktop,45-54,0,5,0
Google Ads,Desktop,55-64,0,2,0
Google Ads,Desktop,Undetermined,16.78,29,2
Google Ads,Mobile,18-24,171.36,48,12
Google Ads,Mobile,25-34,138.41,89,20
Google Ads,Mobile,35-44,161.27,42,13
Google Ads,Mobile,45-54,14.23,14,3
Google Ads,Mobile,55-64,0,4,0
Google Ads,Mobile,65 or more,0,3,0
Google Ads,Mobile,Undetermined,266.8,201,25
Google Ads,Tablet,25-34,0,2,0
Google Ads,Desktop,25-34,0,1,0
Google Ads,Desktop,35-44,0,2,0
Google Ads,Desktop,65 or more,0,1,0
Google Ads,Desktop,Undetermined,13.76,5,2
Google Ads,Mobile,18-24,55.35,6,4
Google Ads,Mobile,25-34,81.13,12,5
Google Ads,Mobile,35-44,0,1,0
Google Ads,Mobile,45-54,2.89,1,1
Google Ads,Mobile,Undetermined,0,33,0
Google Ads,Tablet,Undetermined,0,2,0
Google Ads,Desktop,18-24,216.9,23,5
Google Ads,Desktop,25-34,452.68,125,26
Google Ads,Desktop,35-44,597.96,84,20
Google Ads,Desktop,45-54,67.53,14,1
Google Ads,Desktop,55-64,7.74,9,1
Google Ads,Desktop,65 or more,33.43,3,1
Google Ads,Desktop,Undetermined,210.3,128,18
Google Ads,Mobile,18-24,550.71,118,28
Google Ads,Mobile,25-34,673.2,212,51
Google Ads,Mobile,35-44,113.9,70,12
Google Ads,Mobile,45-54,41.16,11,1
Google Ads,Mobile,55-64,0.29,5,1
Google Ads,Mobile,65 or more,2.16,5,2
Google Ads,Mobile,Undetermined,557.15,220,40
Google Ads,Tablet,Undetermined,0,2,0
Google Ads,Desktop,18-24,4.76,4,1
Google Ads,Desktop,25-34,0,6,0
Google Ads,Desktop,35-44,0,1,0
Google Ads,Desktop,45-54,0,1,0
Google Ads,Desktop,Undetermined,0,6,0
Google Ads,Mobile,18-24,24.41,9,2
Google Ads,Mobile,25-34,12.34,9,4
Google Ads,Mobile,35-44,113.38,3,4
Google Ads,Mobile,45-54,3.61,2,2
Google Ads,Mobile,55-64,0,2,0
Google Ads,Mobile,Undetermined,54.76,33,6
Google Ads,Desktop,18-24,258.64,42,11
Google Ads,Desktop,25-34,411.44,98,24
Google Ads,Desktop,35-44,357.61,47,9
Google Ads,Desktop,45-54,91,23,7
Google Ads,Desktop,55-64,35.86,2,1
Google Ads,Desktop,65 or more,21.11,4,3
Google Ads,Desktop,Undetermined,350.39,82,13
Google Ads,Mobile,18-24,312.1,118,27
Google Ads,Mobile,25-34,408.03,175,51
Google Ads,Mobile,35-44,104.59,42,14
Google Ads,Mobile,45-54,11.28,13,3
Google Ads,Mobile,55-64,1.34,7,1
Google Ads,Mobile,65 or more,0.45,7,1
Google Ads,Mobile,Undetermined,474.37,185,32
Google Ads,Tablet,18-24,0,12,0
Google Ads,Tablet,25-34,0,12,0
Google Ads,Tablet,45-54,0,3,0
Google Ads,Tablet,55-64,0,1,0
Google Ads,Tablet,Undetermined,97.46,10,1
Google Ads,Desktop,18-24,39.1,2,1
Google Ads,Desktop,25-34,90.32,7,3
Google Ads,Desktop,35-44,35.98,3,2
Google Ads,Desktop,65 or more,0,1,0
Google Ads,Desktop,Undetermined,114.21,9,2
Google Ads,Mobile,18-24,11.88,7,2
Google Ads,Mobile,25-34,109.8,13,3
Google Ads,Mobile,35-44,200.32,3,3
Google Ads,Mobile,45-54,12.67,2,1
Google Ads,Mobile,Undetermined,12.14,28,2
Google Ads,Desktop,18-24,55.31,26,4
Google Ads,Desktop,25-34,797.06,137,30
Google Ads,Desktop,35-44,666.58,98,20
Google Ads,Desktop,45-54,85.16,21,6
Google Ads,Desktop,55-64,0,10,0
Google Ads,Desktop,65 or more,67.98,9,2
Google Ads,Desktop,Undetermined,543.31,113,20
Google Ads,Mobile,18-24,385.37,174,37
Google Ads,Mobile,25-34,964.86,261,65
Google Ads,Mobile,35-44,139.07,76,18
Google Ads,Mobile,45-54,0,11,0
Google Ads,Mobile,55-64,32.75,3,1
Google Ads,Mobile,65 or more,61.99,27,6
Google Ads,Mobile,Undetermined,551.96,216,27
Google Ads,Tablet,18-24,92.81,25,1
Google Ads,Tablet,25-34,50,6,1
Google Ads,Tablet,Undetermined,17.31,12,2
Google Ads,Desktop,18-24,78.87,1,1
Google Ads,Desktop,25-34,130.07,7,2
Google Ads,Desktop,35-44,0,3,0
Google Ads,Desktop,45-54,0,1,0
Google Ads,Desktop,Undetermined,76.73,9,2
Google Ads,Mobile,18-24,125.14,13,7
Google Ads,Mobile,25-34,354.94,13,8
Google Ads,Mobile,35-44,42.96,3,2
Google Ads,Mobile,45-54,0,1,0
Google Ads,Mobile,55-64,15.75,1,1
Google Ads,Mobile,Undetermined,1.36,33,1
Google Ads,Tablet,25-34,0,1,0
Google Ads,Desktop,18-24,167.03,30,6
Google Ads,Desktop,25-34,1013.8,143,37
Google Ads,Desktop,35-44,234.15,86,18
Google Ads,Desktop,45-54,182.46,37,5
Google Ads,Desktop,55-64,0,4,0
Google Ads,Desktop,65 or more,36.68,6,1
Google Ads,Desktop,Undetermined,218.86,115,13
Google Ads,Mobile,18-24,404.85,141,36
Google Ads,Mobile,25-34,578.86,211,51
Google Ads,Mobile,35-44,160.67,76,15
Google Ads,Mobile,45-54,13.83,15,1
Google Ads,Mobile,55-64,1.09,9,1
Google Ads,Mobile,65 or more,27.29,12,5
Google Ads,Mobile,Undetermined,255.54,206,27
Google Ads,Tablet,18-24,153.28,9,3
Google Ads,Tablet,25-34,0,4,0
Google Ads,Tablet,Undetermined,0,1,0
Google Ads,Desktop,18-24,0,1,0
Google Ads,Desktop,25-34,0.44,3,1
Google Ads,Desktop,35-44,15.65,4,1
Google Ads,Desktop,45-54,32.08,1,1
Google Ads,Desktop,55-64,61.18,3,1
Google Ads,Desktop,Undetermined,4.16,5,1
Google Ads,Mobile,18-24,31.24,6,2
Google Ads,Mobile,25-34,4.3,7,3
Google Ads,Mobile,35-44,1.49,1,1
Google Ads,Mobile,65 or more,0,2,0
Google Ads,Mobile,Undetermined,10.66,20,2
Google Ads,Desktop,18-24,98.54,29,4
Google Ads,Desktop,25-34,573.78,124,20
Google Ads,Desktop,35-44,353.43,67,14
Google Ads,Desktop,45-54,70.32,12,3
Google Ads,Desktop,55-64,4.18,13,2
Google Ads,Desktop,65 or more,36.27,5,1
Google Ads,Desktop,Undetermined,237.34,108,15
Google Ads,Mobile,18-24,630.33,134,39
Google Ads,Mobile,25-34,564.04,239,69
Google Ads,Mobile,35-44,97.21,61,14
Google Ads,Mobile,45-54,44.96,18,5
Google Ads,Mobile,55-64,0,3,0
Google Ads,Mobile,65 or more,0,11,0
Google Ads,Mobile,Undetermined,152.9,194,15
Google Ads,Tablet,18-24,71.75,16,2
Google Ads,Tablet,25-34,0,8,0
Google Ads,Tablet,45-54,0,1,0
Google Ads,Tablet,Undetermined,55.52,6,1
Google Ads,Desktop,18-24,0,2,0
Google Ads,Desktop,25-34,11.99,6,2
Google Ads,Desktop,35-44,12.94,1,1
Google Ads,Desktop,45-54,0,1,0
Google Ads,Desktop,Undetermined,3.71,2,1
Google Ads,Mobile,18-24,73.33,11,5
Google Ads,Mobile,25-34,19.86,9,2
Google Ads,Mobile,35-44,28.68,3,1
Google Ads,Mobile,45-54,11.3,1,1
Google Ads,Mobile,65 or more,51.53,2,1
Google Ads,Mobile,Undetermined,2.29,15,1
Google Ads,Tablet,25-34,5.1,2,1
Google Ads,Desktop,18-24,145.67,24,5
Google Ads,Desktop,25-34,567.34,114,20
Google Ads,Desktop,35-44,229.66,59,9
Google Ads,Desktop,45-54,135.79,12,5
Google Ads,Desktop,55-64,57.18,4,2
Google Ads,Desktop,65 or more,58.21,3,2
Google Ads,Desktop,Undetermined,359.32,75,13
Google Ads,Mobile,18-24,397.89,115,30
Google Ads,Mobile,25-34,1056.02,262,66
Google Ads,Mobile,35-44,219.28,65,14
Google Ads,Mobile,45-54,120.75,26,11
Google Ads,Mobile,55-64,0.29,4,1
Google Ads,Mobile,65 or more,10.35,7,3
Google Ads,Mobile,Undetermined,509.37,190,35
Google Ads,Tablet,25-34,0,3,0
Google Ads,Desktop,18-24,8.38,2,1
Google Ads,Desktop,25-34,58.25,5,3
Google Ads,Desktop,35-44,5.58,3,1
Google Ads,Desktop,45-54,9.65,1,1
Google Ads,Desktop,55-64,32.49,2,3
Google Ads,Desktop,Undetermined,9.46,4,1
Google Ads,Mobile,18-24,72.48,7,3
Google Ads,Mobile,25-34,95.48,10,5
Google Ads,Mobile,35-44,20.88,6,3
Google Ads,Mobile,45-54,0,1,0
Google Ads,Mobile,65 or more,1.5,1,1
Google Ads,Mobile,Undetermined,32.8,8,1
